district,bid multiplier,households of 4,population - 16 to 24,population - 25 to 44,supermarkets,convenience stores,football stadiums,music Venues,meta,google trends,location - postal area,tier
EC1R,0.83,"3,649",477,"2,154",5,19,Low,1,"2,250",Medium,London EC,5
EC1V,0.89,"9,389","2,033","4,906",10,221,Low,-,"7,083",Medium,London EC,4
EC1Y,0.83,"2,700",307,"1,349",5,4,Low,-,"2,150",Medium,London EC,5
EC2A,0.84,"1,085",207,807,2,178,Low,2,"2,983",Medium,London EC,5
EC2M,0.82,-,-,-,2,8,Low,-,"1,600",Medium,London EC,5
EC2N,0.82,-,-,-,1,6,Low,1,"1,000",Medium,London EC,5
EC2P,0.8,-,-,-,-,-,Low,-,-,Medium,London EC,5
EC2R,0.82,-,-,-,-,6,Low,-,"1,233",Medium,London EC,5
EC2V,0.82,-,-,-,1,2,Low,-,"1,033",Medium,London EC,5
EC2Y,0.82,"2,384",155,"1,110",-,4,Low,2,"1,317",Medium,London EC,5
EC3A,0.82,-,-,-,1,2,Low,-,"1,000",Medium,London EC,5
EC3M,0.82,-,-,-,2,3,Low,-,"1,000",Medium,London EC,5
EC3N,0.82,-,-,-,1,2,Low,-,"1,517",Medium,London EC,5
EC3P,0.8,-,-,-,-,-,Low,-,-,Medium,London EC,5
EC3R,0.82,201,30,134,-,1,Low,-,"1,000",Medium,London EC,5
EC3V,0.82,-,-,-,4,7,Low,-,"1,000",Medium,London EC,5
EC4A,0.82,130,25,76,3,12,Low,-,"1,017",Medium,London EC,5
EC4M,0.82,-,-,-,2,14,Low,-,"1,000",Medium,London EC,5
EC4N,0.82,-,-,-,8,4,Low,-,"1,000",Medium,London EC,5
EC4P,0.8,-,-,-,-,-,Low,-,-,Medium,London EC,5
EC4R,0.81,-,-,-,3,3,Low,-,"1,000",Medium,London EC,5
EC4V,0.81,464,79,312,2,2,Low,-,"1,500",Medium,London EC,5
EC4Y,0.82,280,43,116,-,5,Low,-,"1,000",Medium,London EC,5
EC50,0.8,-,-,-,-,-,Low,-,-,Medium,London EC,5
EN1,0.95,"28,641","5,133","13,393",6,32,Low,1,"12,083",Medium,Enfield,2
EN10,0.86,"10,439","1,840","4,551",5,5,Low,1,"5,983",Low,Enfield,4
EN11,0.88,"13,378","2,260","5,920",6,27,Low,1,"8,000",Medium,Enfield,4
EN2,0.9,"19,186","2,816","8,762",13,17,Low,-,"8,617",Medium,Enfield,3
EN3,1,"36,039","7,507","17,282",3,103,Low,3,"17,283",Medium,Enfield,2
EN4,0.9,"15,984","2,687","6,857",9,20,Low,-,"7,483",High,Enfield,3
EN5,0.93,"24,275","3,950","10,415",7,52,Low,-,"9,700",High,Enfield,3
EN6,0.92,"18,010","3,336","6,354",6,30,Low,2,"8,583",High,Enfield,3
EN7,0.88,"13,187","2,592","5,424",1,1,Low,-,"7,483",Medium,Enfield,4
EN8,0.93,"23,030","3,920","10,146",7,49,Low,-,"11,867",Medium,Enfield,3
EN9,0.9,"15,050","2,371","6,293",2,37,Low,-,"9,800",Medium,Enfield,3
HA8,1.06,"40,627","8,091","20,124",2,167,Medium,-,"21,383",High,Harrow,1
HA9,1.03,"29,135","6,189","16,513",7,142,Medium,2,"22,400",Medium,Harrow,1
HA0,0.99,"28,739","6,147","16,931",12,129,Medium,-,"17,250",Medium,Harrow,2
HA1,0.96,"24,501","4,381","14,243",3,146,Medium,1,"14,117",Medium,Harrow,2
HA3,1.06,"41,738","8,343","20,687",5,140,Medium,-,"22,283",Medium,Harrow,1
HA7,0.95,"22,233","4,143","10,297",2,88,Medium,-,"11,350",High,Harrow,2
IG1,1.07,"37,943","8,343","22,108",5,203,Low,1,"20,450",High,Ilford,1
IG10,0.91,"20,255","3,537","8,617",12,29,Low,-,"10,650",Low,Ilford,3
IG11,1.03,"33,967","6,852","18,896",1,109,Low,1,"21,083",Medium,Ilford,1
IG2,0.94,"17,020","3,492","9,180",7,119,Low,-,"9,700",High,Ilford,2
IG3,0.96,"20,803","4,861","11,531",3,65,Low,-,"11,617",High,Ilford,2
IG4,0.84,"5,041","1,178","2,361",-,23,Low,-,"2,400",Medium,Ilford,5
IG5,0.86,"10,018","2,150","4,312",-,25,Low,-,"4,567",Medium,Ilford,4
IG6,0.91,"16,831","3,092","7,604",3,48,Low,-,"9,900",Medium,Ilford,3
IG7,0.88,"12,690","2,291","5,434",-,19,Low,-,"7,717",Medium,Ilford,4
IG8,0.92,"22,087","3,606","9,816",2,48,Low,-,"9,817",Medium,Ilford,3
IG9,0.85,"8,188","1,159","3,696",3,13,Low,-,"3,817",Medium,Ilford,4
KT17,0.89,"14,154","2,523","5,769",9,16,Low,-,"7,633",Medium,Kingston upon Thames,4
KT18,0.88,"10,796","1,463","4,389",7,11,Low,-,"4,633",High,Kingston upon Thames,4
KT19,0.93,"21,141","3,537","9,599",7,15,Low,1,"11,717",Medium,Kingston upon Thames,3
KT2,0.91,"19,199","3,399","9,712",7,21,Low,1,"7,100",Medium,Kingston upon Thames,3
KT3,0.96,"23,857","4,217","11,120",6,43,Low,-,"10,300",High,Kingston upon Thames,2
KT4,0.93,"17,969","2,791","8,308",5,11,Low,-,"8,417",High,Kingston upon Thames,3
KT5,0.88,"12,563","2,363","6,042",3,23,Low,-,"5,600",Medium,Kingston upon Thames,4
KT1,0.95,"16,414","4,159","8,333",8,40,Low,-,"8,467",High,Kingston upon Thames,2
KT20,0.87,"12,431","1,780","4,425",5,5,Low,1,"6,717",Medium,Kingston upon Thames,4
KT21,0.84,"8,118","1,035","2,932",1,1,Low,-,"3,783",Low,Kingston upon Thames,5
KT22,0.91,"14,771","2,168","5,890",8,14,Low,-,"7,883",High,Kingston upon Thames,3
KT6,0.92,"20,392","3,216","11,804",13,30,Low,-,"9,433",Medium,Kingston upon Thames,3
KT9,0.91,"13,328","2,292","6,216",5,26,Low,-,"8,350",High,Kingston upon Thames,3
LU2,1.03,"36,174","6,903","17,398",4,43,Low,-,"22,350",Medium,Luton,1
ME18,0.83,"4,090",542,"1,412",-,6,Low,1,"2,167",Medium,Medway,5
ME19,0.89,"12,971","1,948","5,965",3,8,Low,-,"9,283",Medium,Medway,4
N1,1.08,"47,362","8,343","24,746",19,296,Medium,4,"22,917",Medium,London N,1
N10,0.9,"18,590","2,638","10,059",8,22,Medium,-,"5,217",High,London N,3
N11,0.92,"19,805","3,447","10,843",5,30,Medium,-,"7,900",High,London N,3
N12,0.91,"18,763","2,864","9,813",7,64,Medium,-,"6,183",High,London N,3
N13,0.92,"20,649","3,657","10,716",3,104,Medium,-,"8,167",Medium,London N,3
N14,0.91,"18,769","3,548","8,743",1,65,Medium,-,"6,817",High,London N,3
N15,0.97,"28,942","5,447","16,758",4,146,Medium,-,"12,667",Medium,London N,2
N16,1,"44,702","8,343","24,746",7,97,Medium,2,"11,217",Medium,London N,2
N17,1.03,"41,632","8,343","20,878",9,100,Medium,-,"19,000",Medium,London N,1
N18,0.92,"20,265","4,232","9,908",1,45,Medium,1,"8,667",Medium,London N,3
N19,0.92,"24,582","3,937","13,384",5,32,Medium,-,"8,467",Medium,London N,3
N1C,0.82,-,-,-,10,-,Medium,1,"1,600",Medium,London N,5
N1P,0.81,-,-,-,-,-,Medium,-,-,Medium,London N,5
N2,0.89,"15,704","2,305","8,439",2,22,Medium,-,"5,250",High,London N,3
N20,0.88,"11,824","1,928","5,346",2,13,Medium,-,"4,767",High,London N,4
N21,0.88,"14,671","2,331","6,688",7,53,Medium,-,"4,617",Medium,London N,4
N22,0.97,"29,454","5,252","17,276",5,82,Medium,3,"13,767",Medium,London N,2
N3,0.91,"17,407","2,577","9,622",5,75,Medium,-,"6,767",High,London N,3
N4,0.99,"34,574","5,910","21,892",12,82,Medium,-,"13,583",Medium,London N,2
N5,0.89,"17,623","2,531","11,340",3,19,Medium,2,"5,483",Medium,London N,3
N6,0.88,"13,416","1,356","7,869",2,26,Medium,2,"3,350",High,London N,4
N7,0.98,"34,970","6,751","19,887",12,58,Medium,-,"12,450",Medium,London N,2
N8,0.94,"27,932","3,797","17,490",4,55,Medium,-,"10,000",Medium,London N,2
N81,0.81,-,-,-,-,-,Medium,-,-,Medium,London N,5
N9,0.98,"33,253","6,841","15,450",-,133,Medium,-,"13,767",Medium,London N,2
NW1,1.02,"43,016","8,343","22,078",28,90,Low,9,"17,150",Medium,London NW,1
NW10,1.16,"47,362","8,343","24,746",5,169,Low,1,"46,300",Medium,London NW,1
NW11,0.91,"19,924","3,447","10,877",10,88,Low,-,"6,800",High,London NW,3
NW1W,0.8,-,-,-,-,-,Low,-,-,Medium,London NW,5
NW2,1.04,"44,701","8,336","24,746",5,58,Low,-,"18,217",High,London NW,1
NW26,0.8,-,-,-,-,-,Low,-,-,Medium,London NW,5
NW3,0.96,"35,791","3,858","20,326",10,45,Low,1,"10,217",High,London NW,2
NW4,0.92,"20,336","4,392","11,092",4,63,Low,-,"8,317",High,London NW,3
NW5,0.9,"21,797","3,867","11,274",6,33,Low,1,"6,917",Medium,London NW,3
NW6,1.02,"46,864","6,286","24,746",22,57,Low,1,"16,267",High,London NW,1
NW7,0.91,"15,873","2,662","7,774",6,28,Low,1,"8,517",High,London NW,3
NW8,0.9,"23,630","3,483","11,913",-,21,Low,-,"6,850",Medium,London NW,3
NW9,1.04,"37,287","7,721","20,075",19,138,Low,-,"21,117",High,London NW,1
RH1,0.97,"28,670","4,413","14,843",7,19,Low,-,"17,433",Medium,Redhill,2
RH2,0.88,"15,718","2,004","7,002",6,14,Low,1,"7,550",Medium,Redhill,4
RH3,0.83,"2,593",337,821,-,4,Low,-,"1,383",Medium,Redhill,5
RH5,0.86,"9,760","1,331","3,648",-,9,Low,1,"4,550",Medium,Redhill,4
RH8,0.85,"9,230","1,364","3,453",7,4,Low,-,"4,483",Medium,Redhill,4
RH9,0.82,"3,259",473,"1,222",-,-,Low,-,"2,067",Medium,Redhill,5
RM1,0.88,"12,574","2,247","5,797",9,30,Low,-,"7,333",Medium,Romford,4
RM10,0.95,"24,561","4,811","11,038",1,40,Low,-,"13,817",Medium,Romford,2
RM11,0.91,"19,288","3,749","7,510",3,28,Low,-,"9,833",Medium,Romford,3
RM12,0.92,"21,355","4,008","8,076",5,20,Low,-,"11,000",Medium,Romford,3
RM13,0.93,"18,180","3,478","7,118",1,17,Low,-,"11,233",Medium,Romford,3
RM15,0.93,"17,437","3,009","8,119",2,20,Low,1,"11,783",High,Romford,3
RM17,0.91,"17,586","3,166","9,148",5,35,Low,-,"10,333",Low,Romford,3
RM19,0.83,"4,373",702,"2,847",-,3,Low,-,"2,767",Medium,Romford,5
RM2,0.86,"8,361","1,372","3,780",-,11,Low,-,"4,433",Medium,Romford,4
RM20,0.83,"3,149",610,"1,771",3,9,Low,-,"3,167",Low,Romford,5
RM3,0.96,"25,829","4,680","11,094",3,28,Low,-,"14,717",Medium,Romford,2
RM4,0.83,"2,612",386,936,-,3,Low,-,"1,917",Medium,Romford,5
RM5,0.88,"11,410","2,048","4,641",3,11,Low,-,"6,817",Medium,Romford,4
RM6,0.92,"20,525","3,988","9,936",3,48,Low,-,"10,367",Medium,Romford,3
RM7,0.93,"18,386","3,395","8,363",3,10,Low,-,"12,617",Medium,Romford,3
RM8,0.96,"25,152","4,761","12,179",2,46,Low,-,"14,883",Medium,Romford,2
RM9,0.94,"23,088","4,235","10,909",5,39,Low,-,"12,383",Medium,Romford,2
RM14,0.9,"16,227","2,803","5,763",5,11,Low,-,"8,467",Medium,Romford,3
RM16,0.95,"24,938","4,226","12,667",5,18,Low,-,"14,933",Medium,Romford,2
RM18,0.89,"10,360","2,108","4,917",3,12,Low,-,"8,067",High,Romford,3
SE1,1.08,"47,362","8,343","24,746",40,98,Medium,18,"24,433",Medium,London SE,1
SE10,0.94,"16,993","2,717","10,534",13,36,Medium,7,"13,200",Medium,London SE,2
SE11,0.89,"16,246","2,773","8,681",-,19,Medium,-,"4,817",Medium,London SE,4
SE12,0.9,"18,358","2,899","8,695",5,31,Medium,-,"6,533",Medium,London SE,3
SE13,0.96,"29,979","4,918","18,120",9,52,Medium,-,"11,217",Medium,London SE,2
SE14,0.9,"17,164","3,769","9,583",4,22,Medium,1,"6,933",Medium,London SE,3
SE15,1.02,"44,622","7,984","24,079",6,67,Medium,3,"15,267",Medium,London SE,1
SE16,1,"33,172","6,147","19,840",9,50,Medium,3,"16,783",Medium,London SE,1
SE17,0.94,"24,401","4,917","12,454",1,43,Medium,-,"10,383",Medium,London SE,2
SE18,1.08,"47,362","8,343","24,746",5,97,Medium,1,"24,833",Medium,London SE,1
SE19,0.9,"19,499","2,497","10,603",2,35,Medium,2,"6,733",Medium,London SE,3
SE1P,0.81,-,-,-,-,-,Medium,-,-,Medium,London SE,5
SE2,0.9,"17,272","3,411","7,917",13,6,Medium,-,"7,550",Medium,London SE,3
SE20,0.9,"15,972","2,615","8,426",5,22,Medium,-,"6,000",Medium,London SE,3
SE21,0.87,"9,866","1,292","4,931",-,7,Medium,-,"5,467",Medium,London SE,4
SE22,0.91,"20,693","2,599","12,809",4,26,Medium,-,"6,567",Medium,London SE,3
SE23,0.91,"23,509","3,166","12,987",4,20,Medium,-,"6,883",Medium,London SE,3
SE24,0.87,"13,036","1,786","7,710",2,18,Medium,1,"3,550",Medium,London SE,4
SE25,0.95,"24,282","4,154","11,193",7,39,Medium,-,"8,150",High,London SE,2
SE26,0.9,"19,639","2,844","10,138",7,30,Medium,-,"6,683",Medium,London SE,3
SE27,0.89,"14,985","2,315","8,003",2,24,Medium,-,"5,733",Medium,London SE,4
SE28,0.9,"18,421","3,130","10,930",4,17,Medium,-,"7,000",Medium,London SE,3
SE3,0.91,"21,317","2,910","11,361",5,17,Medium,1,"8,017",Medium,London SE,3
SE4,0.9,"20,273","3,533","11,670",7,17,Medium,-,"5,617",Medium,London SE,3
SE5,0.96,"32,590","5,982","17,600",6,37,Medium,1,"11,150",Medium,London SE,2
SE6,0.98,"35,454","6,306","16,575",5,51,Medium,-,"12,667",Medium,London SE,2
SE7,0.89,"13,986","2,664","7,315",9,17,Medium,-,"5,500",Medium,London SE,4
SE8,0.94,"19,915","4,154","10,933",3,25,Medium,1,"11,450",Medium,London SE,3
SE9,1.02,"39,844","7,353","16,896",10,48,Medium,-,"18,683",Medium,London SE,1
SG1,1.01,"32,641","5,872","15,986",7,31,Low,1,"21,333",Low,Stevenage,1
SG10,0.81,"1,142",148,386,-,-,Low,-,"1,000",Medium,Stevenage,5
SG11,0.83,"4,708",635,"1,873",-,-,Low,-,"2,650",Low,Stevenage,5
SG12,0.92,"18,577","2,734","8,663",3,11,Low,-,"10,450",Medium,Stevenage,3
SG13,0.86,"10,099","1,553","4,757",1,10,Low,1,"6,633",Low,Stevenage,4
SG14,0.87,"12,035","1,499","5,493",5,10,Low,-,"5,983",Medium,Stevenage,4
SG3,0.83,"4,380",632,"1,825",1,3,Low,-,"2,450",Low,Stevenage,5
SG2,0.96,"26,225","4,804","11,229",2,8,Low,2,"14,900",Medium,Stevenage,2
SG4,0.89,"18,070","2,611","7,760",1,10,Low,2,"8,883",Medium,Stevenage,3
SG5,0.92,"19,824","2,753","9,319",7,20,Low,-,"12,933",Medium,Stevenage,3
SG6,0.91,"20,873","3,216","8,559",7,17,Low,2,"10,783",Low,Stevenage,3
SG9,0.85,"5,520",892,"1,980",3,3,Low,-,"4,350",Medium,Stevenage,4
SM1,0.94,"24,923","3,787","12,620",3,54,Low,-,"12,500",Medium,Sutton,2
SM2,0.89,"17,468","2,218","8,361",1,12,Low,-,"8,550",Medium,Sutton,3
SM3,0.9,"12,771","2,305","5,428",7,23,Low,-,"6,817",High,Sutton,3
SM4,0.96,"23,256","4,109","11,128",6,84,Low,-,"11,900",High,Sutton,2
SM5,0.95,"24,220","4,379","11,470",9,43,Low,1,"13,583",Medium,Sutton,2
SM6,0.93,"23,365","3,906","10,712",7,29,Low,-,"12,417",Medium,Sutton,3
SM7,0.86,"10,710","1,624","4,018",6,13,Low,-,"5,000",Medium,Sutton,4
SS17,0.95,"20,033","3,587","8,025",4,11,Low,-,"12,783",High,Southend-on-Sea,2
SW10,0.87,"14,045","1,720","7,404",6,13,Medium,-,"3,633",Medium,London SW,4
SW11,1.04,"47,362","7,347","24,746",20,64,Medium,1,"19,617",Medium,London SW,1
SW12,0.92,"22,774","2,983","16,069",27,30,Medium,-,"7,667",Medium,London SW,3
SW13,0.85,"10,668","1,213","5,203",5,15,Medium,2,"2,583",Medium,London SW,4
SW14,0.85,"10,835","1,186","5,731",3,15,Medium,-,"2,850",Medium,London SW,4
SW15,1.01,"41,738","6,564","24,746",21,42,Medium,-,"14,867",Medium,London SW,1
SW16,1.08,"47,362","8,343","24,746",12,73,Medium,-,"20,300",High,London SW,1
SW17,1.04,"44,462","7,798","24,746",13,94,Medium,-,"18,083",Medium,London SW,1
SW18,1,"40,108","4,849","24,746",18,32,Medium,2,"15,950",Medium,London SW,1
SW19,1.05,"47,362","6,841","24,746",32,86,Medium,-,"21,450",Medium,London SW,1
SW1A,0.82,201,18,92,-,3,Medium,-,"1,033",Medium,London SW,5
SW1E,0.82,440,53,265,7,4,Medium,-,"1,050",Medium,London SW,5
SW1H,0.82,565,74,364,-,1,Medium,-,"1,000",Medium,London SW,5
SW1P,0.86,"9,787","1,333","4,972",4,12,Medium,2,"3,467",Medium,London SW,4
SW1V,0.88,"17,265","2,217","9,157",7,23,Medium,-,"5,167",Medium,London SW,4
SW1W,0.86,"6,311",726,"3,304",6,12,Medium,-,"5,267",Medium,London SW,4
SW1X,0.84,"4,522",543,"2,312",3,13,Medium,1,"2,817",Medium,London SW,5
SW1Y,0.82,426,52,264,-,13,Medium,3,"1,250",Medium,London SW,5
SW2,0.99,"40,162","6,386","24,312",10,34,Medium,1,"12,917",Medium,London SW,2
SW20,0.89,"18,306","2,256","10,421",9,9,Medium,2,"6,367",Medium,London SW,4
SW3,0.9,"16,287","2,036","7,736",23,23,Medium,-,"10,233",Medium,London SW,3
SW4,0.96,"29,932","5,052","19,206",16,20,Medium,-,"9,200",High,London SW,2
SW5,0.87,"12,088","1,817","6,948",2,12,Medium,1,"3,033",Medium,London SW,4
SW6,1.02,"47,362","7,893","24,746",23,63,Medium,1,"15,700",Medium,London SW,1
SW7,0.87,"13,390","2,080","7,703",8,28,Medium,3,"4,650",Medium,London SW,4
SW8,0.96,"27,723","4,936","16,073",18,32,Medium,1,"10,117",High,London SW,2
SW9,0.99,"32,813","6,233","18,412",11,53,Medium,-,"12,767",High,London SW,2
SW95,0.81,-,-,-,-,-,Medium,-,-,Medium,London SW,5
TN11,0.84,"8,170","1,276","2,899",1,3,Low,-,"3,833",Medium,Tonbridge,5
TN13,0.88,"14,687","1,870","6,673",9,17,Low,1,"7,117",Medium,Tonbridge,4
TN14,0.85,"9,036","1,252","3,491",5,3,Low,-,"4,367",Medium,Tonbridge,4
TN15,0.88,"14,463","2,047","5,211",2,14,Low,1,"7,733",Medium,Tonbridge,4
TN16,0.87,"11,736","1,858","4,572",5,7,Low,-,"7,000",Medium,Tonbridge,4
TN8,0.85,"7,768","1,094","3,128",3,6,Low,1,"4,867",Medium,Tonbridge,4
TW1,0.91,"16,209","1,756","9,512",4,48,Low,-,"6,067",High,Twickenham,3
TW10,0.87,"12,512","1,332","6,096",2,7,Low,1,"4,783",Medium,Twickenham,4
TW11,0.9,"15,093","1,986","7,281",2,9,Low,2,"5,717",High,Twickenham,3
TW7,0.95,"24,152","3,979","13,560",2,40,Low,-,"11,967",Medium,Twickenham,2
TW8,0.9,"13,262","1,984","7,251",5,25,Low,2,"8,400",Medium,Twickenham,3
TW9,0.87,"14,579","1,447","8,350",12,17,Low,2,"5,383",Medium,Twickenham,4
UB6,1.01,"31,579","5,871","17,420",2,106,Low,-,"17,783",High,Uxbridge,1
W14,0.95,"28,234","4,514","17,359",8,40,Low,-,"10,550",Medium,London W,2
W1A,0.81,-,-,-,3,8,Low,-,-,Medium,London W,5
W1B,0.82,391,63,193,2,16,Low,1,"1,500",Medium,London W,5
W1C,0.82,-,-,-,2,6,Low,-,"1,000",Medium,London W,5
W1D,0.83,"1,279",190,813,1,23,Low,2,"2,100",Medium,London W,5
W1F,0.82,"1,264",140,686,-,8,Low,-,"1,550",Medium,London W,5
W1G,0.83,"2,222",238,"1,309",-,25,Low,-,"1,517",Medium,London W,5
W1H,0.84,"4,725",705,"2,750",2,19,Low,-,"2,317",Medium,London W,5
W1J,0.83,"1,237",172,727,3,10,Low,-,"2,550",Medium,London W,5
W1K,0.83,"2,364",331,"1,127",-,15,Low,1,"2,400",Medium,London W,5
W1S,0.82,128,17,95,-,4,Low,1,"1,433",Medium,London W,5
W1T,0.84,"2,723",834,"1,389",9,23,Low,-,"3,000",Medium,London W,5
W1U,0.84,"4,403",637,"2,716",9,25,Low,-,"2,000",Medium,London W,5
W1W,0.83,"3,156",638,"1,635",2,50,Low,2,"1,450",Medium,London W,5
W2,0.96,"35,843","5,062","22,093",31,93,Low,4,"10,183",Medium,London W,2
W3,1.01,"35,322","6,432","20,628",43,96,Low,-,"15,450",Medium,London W,1
W4,0.95,"30,502","3,733","16,813",12,45,Low,1,"10,500",Medium,London W,2
W6,0.92,"25,823","4,886","14,817",14,44,Low,1,"7,450",Medium,London W,3
W8,0.87,"14,020","1,612","7,726",8,17,Low,1,"4,150",Medium,London W,4
W9,0.93,"27,395","3,438","16,761",3,47,Low,-,"7,733",Medium,London W,3
W10,0.9,"24,018","3,871","11,884",5,39,Low,1,"6,350",Medium,London W,3
W11,0.89,"22,842","2,861","11,778",7,33,Low,-,"5,300",Medium,London W,3
W12,0.98,"34,399","6,074","19,673",17,52,Low,2,"13,250",Medium,London W,2
W13,0.91,"21,599","3,091","12,209",7,38,Low,-,"8,183",Medium,London W,3
W5,0.98,"33,030","4,564","19,638",17,61,Low,1,"12,917",Medium,London W,2
WC1A,0.82,405,170,160,-,5,Low,2,"1,017",Medium,London WC,5
WC1B,0.82,"1,169",236,644,2,3,Low,-,"1,300",Medium,London WC,5
WC1E,0.82,"1,309",411,671,-,2,Low,-,"1,267",Medium,London WC,5
WC1H,0.83,"5,275","1,525","2,243",1,8,Low,-,"1,900",Medium,London WC,5
WC1N,0.84,"4,979","1,005","2,510",5,58,Low,2,"2,433",Medium,London WC,5
WC1R,0.82,562,164,227,-,3,Low,-,"1,000",Medium,London WC,5
WC1V,0.82,515,131,166,2,3,Low,-,"1,000",Medium,London WC,5
WC1X,0.83,"5,045","1,160","2,464",1,23,Low,1,"1,900",Medium,London WC,5
WC2A,0.82,-,-,-,-,18,Low,-,"1,267",Medium,London WC,5
WC2B,0.82,"1,360",231,675,3,21,Low,1,"1,300",Medium,London WC,5
WC2E,0.82,703,111,343,-,2,Low,19,"1,183",Medium,London WC,5
WC2H,0.84,"1,974",402,"1,117",2,202,Low,3,"1,917",Medium,London WC,5
WC2N,0.82,633,145,329,3,7,Low,-,"1,200",Medium,London WC,5
WC2R,0.82,-,-,-,1,7,Low,-,"1,033",Medium,London WC,5
WD6,0.97,"23,702","4,075","11,415",11,39,Low,-,"15,167",High,Watford,2
WD7,0.85,"7,377","1,081","3,048",-,6,Low,1,"4,150",Medium,Watford,4
CM0,0.89,"9,849","1,383","3,621",1,8,Low,-,"6,433",High,Chelmsford,3
CM11,0.87,"11,267","1,892","4,612",-,4,Low,-,"6,150",Medium,Chelmsford,4
CM2,1.01,"36,182","5,801","16,996",14,35,Low,-,"19,833",Medium,Chelmsford,1
CM77,0.87,"8,954","1,466","4,062",5,9,Low,-,"6,400",Medium,Chelmsford,4
CM8,0.94,"20,664","3,514","9,356",7,11,Low,-,"13,683",Medium,Chelmsford,2
CM9,0.95,"20,529","3,101","7,822",10,16,Low,-,"12,317",High,Chelmsford,2
CM98,0.8,-,-,-,-,-,Low,-,-,Medium,Chelmsford,5
CM99,0.8,-,-,-,-,-,Low,-,-,Medium,Chelmsford,5
CO1,0.9,"10,802","2,121","5,568",8,26,Low,2,"7,333",High,Colchester,3
CO2,0.96,"21,275","4,546","10,121",5,18,Low,1,"15,150",Medium,Colchester,2
CO3,0.91,"17,508","2,947","6,789",6,11,Low,-,"9,800",Medium,Colchester,3
CO5,0.93,"17,248","2,478","5,977",3,16,Low,-,"10,267",High,Colchester,3
CO16,0.9,"15,150","2,402","4,619",2,10,Low,-,"10,533",Medium,Colchester,3
CT1,0.95,"19,702","7,070","7,779",15,38,Low,3,"11,283",Medium,Canterbury,2
CT2,0.93,"17,548","6,937","5,306",3,8,Low,2,"8,783",Medium,Canterbury,3
CT5,0.93,"20,672","2,790","6,886",4,12,Low,1,"10,317",Medium,Canterbury,3
CT6,0.97,"23,823","3,770","8,389",5,20,Low,-,"13,667",High,Canterbury,2
ME1,0.94,"19,403","3,612","8,396",4,17,Low,-,"11,750",High,Medway,2
ME10,0.98,"29,459","5,305","13,202",5,27,Low,-,"19,133",Medium,Medway,2
ME11,0.82,"2,172",406,817,1,1,Low,-,"1,633",Medium,Medway,5
ME12,0.96,"22,458","4,090","8,148",2,14,Low,-,"16,367",Medium,Medway,2
ME16,0.93,"18,911","3,159","8,781",10,13,Low,-,"12,883",Medium,Medway,3
ME2,0.96,"24,427","4,580","10,820",9,22,Low,-,"16,850",Medium,Medway,2
ME20,0.89,"12,545","2,181","5,411",7,4,Low,-,"8,400",Medium,Medway,4
ME3,0.93,"15,822","2,642","6,314",2,5,Low,-,"11,200",High,Medway,3
ME4,0.93,"18,989","4,160","9,516",6,32,Low,-,"12,550",Medium,Medway,3
ME5,1,"31,772","6,094","14,066",5,11,Low,-,"19,983",Medium,Medway,2
ME6,0.86,"6,470","1,175","3,019",1,5,Low,-,"4,383",Medium,Medway,4
ME7,1.01,"32,496","7,556","14,626",9,44,Low,-,"19,833",Medium,Medway,1
ME8,0.98,"30,563","5,240","11,702",7,13,Low,-,"17,183",Medium,Medway,2
ME9,0.89,"12,289","1,890","4,869",3,9,Low,-,"9,650",Medium,Medway,3
ME99,0.8,-,-,-,-,-,Low,-,-,Medium,Medway,5
SS0,0.98,"26,983","4,371","12,841",7,33,Low,-,"14,833",Medium,Southend-on-Sea,2
SS1,0.93,"16,988","2,823","7,191",5,39,Low,1,"10,083",Medium,Southend-on-Sea,3
SS11,0.87,"10,160","1,624","3,818",2,5,Low,-,"7,050",Medium,Southend-on-Sea,4
SS12,0.87,"11,119","1,636","5,412",4,5,Low,-,"6,583",Medium,Southend-on-Sea,4
SS13,0.89,"14,229","2,617","5,908",6,12,Low,-,"9,050",Medium,Southend-on-Sea,4
SS14,0.91,"16,028","2,945","6,900",3,27,Low,-,"11,450",Medium,Southend-on-Sea,3
SS15,0.92,"19,500","3,414","8,871",-,8,Low,-,"12,183",Medium,Southend-on-Sea,3
SS16,0.92,"18,594","3,580","8,246",1,9,Low,-,"12,300",Medium,Southend-on-Sea,3
SS2,0.96,"23,773","4,022","10,029",6,17,Low,-,"14,267",Medium,Southend-on-Sea,2
SS22,0.81,-,-,-,-,-,Low,-,-,Medium,Southend-on-Sea,5
SS3,0.91,"17,669","3,158","7,044",2,9,Low,-,"10,383",Medium,Southend-on-Sea,3
SS4,0.89,"12,930","2,146","5,193",3,8,Low,-,"8,050",Medium,Southend-on-Sea,4
SS5,0.91,"12,908","2,094","4,467",4,7,Low,1,"7,717",High,Southend-on-Sea,3
SS6,0.94,"19,022","2,917","8,032",2,12,Low,-,"11,433",High,Southend-on-Sea,2
SS7,0.98,"29,905","4,896","10,908",7,30,Low,-,"17,017",Medium,Southend-on-Sea,2
SS8,0.94,"23,711","4,147","8,801",5,12,Low,-,"14,183",Low,Southend-on-Sea,2
SS9,0.98,"31,569","4,235","12,846",6,42,Low,-,"16,783",Medium,Southend-on-Sea,2
SS99,0.81,-,-,-,-,-,Low,-,-,Medium,Southend-on-Sea,5
